speaker,words,tags,timestamp
Intro music,,,"00:00:00,000"
Leesa Love,"Welcome to Open Invitation, a podcast in which we invite students and faculty from across the University of Idaho to discuss all things open access. I'm Leesa Love, the Open Publishing Librarian here at U of I.  ",,"00:00:07,000"
,"In this inaugural season, I and some of my fellow librarians will be talking with three recent award recipients of the University's Open Access Publishing Fund or OAPF. For those who are unaware, this limited fund is run by the Library and Issues awards to eligible faculty, staff, and students for articles published in fully open access journals. For more information on the fund, including eligibility requirements, you can visit lib.uidaho.edu/open/oapf.  ",,"00:00:20,320"
,"Joining me as co-host on this episode is my colleague, Marco Seiferle-Valencia, Open Education Librarian and Associate Professor here at U of I Library. Marco is also manager of the Gary Strong Curriculum Center and liaison to the College of Education, Health, and Human Sciences.",,"00:00:52,940 "
,"Together we'll be talking with Dr. Yin Hong Cheah about her first OAPF awarded article. It's titled, ""Integrating Generative Artificial Intelligence in K-12 Education, Examining Teachers Preparedness, Practices, and Barriers”, and was published in the June 2025 issue of Computers and Education: Artificial Intelligence.",,"00:01:08,260 "
,Dr. Yin Hong Cheah is an assistant professor of instructional technology in the Department of Curriculum and Instruction at the University of Idaho. She holds a PhD in Learning Technologies from the University of Texas at Austin. Cheah's research focuses on investigating and developing K-12 teachers' technology practices to empower students as digital learners.,,"00:01:27,380 "
,"To bridge the research practice gap, she translates her findings into actionable strategies by supporting teachers in lesson design, implementation, and reflection when using technology to teach. Since generative AI, especially ChatGPT entered the public sphere in late 2022, Cheah has developed a focused research interest in this area. She is currently studying how teachers in Idaho are using AI in educational settings and is offering courses to promote AI literacy at both the undergraduate and graduate levels.",,"00:01:47,020 "
,"For context, the following interview was recorded in summer of 2025.",,"00:02:16,900 "
Transition music,,,"00:02:20,780 "
Leesa,"All right, well, thank you for coming in. Welcome to our studio.",,"00:02:22,780 "
Dr. Cheah,"Yeah, I'm super honored. Thank you, Leesa and Marco for inviting me.",,"00:02:29,620 "
Leesa,"Yeah, of course. So today we're here to talk about a recent article that you had published with funding from our Open Access Publishing Fund, but before we get into that, I wonder if you could tell us a little about your background and what led you to this field?",,"00:02:34,500 "
Dr. Cheah,"Sure. It's definitely been a winding path, I would say. I actually graduated with a bachelor's degree in chemical engineering. But not long after that, I realized I was more drawn to developing humans than improving machine efficiency. That led me to become a middle school math and science teacher. That experience really opened my eyes to both the challenges and joys of working with students and also got me thinking about how teachers are supported in their work.",,"00:02:49,460 "
,"Over time, I transitioned into a teacher-developer role, and that's when I started to appreciate the importance of research informed practice and how those classroom experiences can, in turn, like, refine theory. It made me realize just how powerful the connections between theory and classroom practice can be and that really shaped my interest in bridging both roles.",,"00:03:22,700 "
,"So, with that intention, I became a research associate at the National Institute of Education in Singapore, where one of the projects I worked on involved supporting teachers in using technology to promote inquiry-based learning, and that was actually a turning point for me. Before that, I had thought of technology as something pretty binary. You either use it or you don't. But working closely with teachers helped me to see things differently.",,"00:03:49,820 "
,"I began thinking more deeply about how pedagogical approaches and the nature of the subject matter really influenced how technology should be used. For instance, we can design activities where students sit in front of a computer for drill and practice, or we can schedule richer learning experiences, like having them explore scientific phenomena through simulations and guide the questioning.",,"00:04:21,140 "
,"That research involvement sparked my interest in instructional technology and eventually led me to pursue a PhD in the field and become an assistant professor, which is what I'm doing now. While my journey may seem a bit all over the place, I really appreciate how it has given me an interdisciplinary perspective and helped me stand grounded on both research and practice.",,"00:04:47,380 "
