speaker,words,tags,timestamp
Intro music,,,0:00:00
Leesa Love,"Welcome to Open Invitation, a podcast in which we invite students and faculty from across the University of Idaho to discuss all things open access. I'm Leesa Love, the Open Publishing Librarian here at U of I. ",,0:00:07
,"In this inaugural season, I and some of my fellow librarians will be talking with three recent award recipients of the University's Open Access Publishing Fund or OAPF. For those who are unaware, this limited fund is run by the Library and Issues Awards to eligible faculty, staff, and students for articles published in fully open access journals. For more information on the fund, including eligibility requirements, you can visit lib.uidaho.edu/open/oapf.  ",,0:00:19
,"Joining me as co-host on this episode is my colleague Jeremy Kenyon, professor, research librarian, and unit head for research and experiential learning here at U of I library. Jeremy is also the liaison to the College of Natural Resources.  ",,0:00:53
,"Together we'll be talking to first time OAPF applicant Grace Peven about her article ""Montane Springs Provide Regeneration Refugia After High-severity Wildfire,"" published September of 2024 in the journal Ecosphere.  ",,0:01:06
,"Prior to beginning her PhD, Grace has held many positions throughout the region, including working with the Payette National Forest on Hydrology and Forestry projects, conducting stream surveys in Eastern Oregon, mapping suitable beaver habitats in Washington State, and working as an environmental consultant for agencies like NOAA and the International Sea Bed Authority.  ",,0:01:21
,Her education and work experience have given her a well-rounded understanding of the region's waterscapes and the role humans play in shaping them.  ,,0:01:37
,"For context, the following interview was recorded in summer of 2025.",,0:01:44
Transition music,,,0:01:48
,"Today we're here to talk about your article that was recently partially funded by the OAPF. Montane Springs Provide Regeneration Refugia After High-Severity Wildfire. All words that I'm not super familiar with, so I'm excited to talk to you about this.  ",,0:01:52
,So I guess we'll start with something simple. Can you tell us a little about your background and what led you to this field?  ,,0:02:08
Grace Peven,"Yeah, so I grew up in Wenatchee in central Washington around a lot of rivers and cool places to explore. My parents were rafting guides earlier on in life, and they took us rafting. We were fortunate enough to grow up whitewater rafting and exploring rivers in Idaho and Oregon and Washington. And I think that really got into my bones of wanting to study water and being really fascinated with these wild watersheds and wild places and understanding how rivers flow.    ",,0:02:14
,"And especially on these multi-day rafting trips, something that I really enjoyed as a kid was finding these small tributary streams and just crawling up the streams and exploring what was around every bend and seeing all the little fish and insects and whatnot and plants in the stream.  ",,0:02:49
